"category","reproductive_mode","year","site","coldens","yearind","coldensLog"
"Rare","broadcaster",2014,"Booby Rock",0.0833333333333333,0,-1.07918124604762
"Rare","broadcaster",2014,"Europa",0.0583333333333333,0,-1.23408320603337
"Rare","broadcaster",2014,"Grootpan",0.0833333333333333,0,-1.07918124604762
"Rare","broadcaster",2015,"Europa",0.05,1,-1.30102999566398
"Rare","broadcaster",2015,"Grootpan",0.0967741935483871,1,-1.01424043911461
"Rare","broadcaster",2016,"Europa",0.0726392251815981,2,-1.13882879693674
"Rare","broadcaster",2016,"Grootpan",0.155555555555556,2,-0.808114473761087
"Rare","broadcaster",2017,"Europa",0.0966666666666667,3,-1.01472325682071
"Rare","broadcaster",2017,"Grootpan",0.113095238095238,3,-0.946555680773034
"Rare","broadcaster",2018,"Booby Rock",0.0933333333333333,4,-1.02996322337744
"Rare","broadcaster",2018,"Europa",0.0605326876513317,4,-1.21801004298436
"Rare","broadcaster",2018,"Grootpan",0.0919540229885057,4,-1.03642926562667
"Rare","broadcaster",2019,"Booby Rock",0.08125,5,-1.09017663034909
"Rare","broadcaster",2019,"Europa",0.0333333333333333,5,-1.47712125471966
"Rare","broadcaster",2019,"Grootpan",0.08,5,-1.09691001300806
"Rare","broadcaster",2021,"Booby Rock",0.107692307692308,7,-0.967815316628599
"Rare","broadcaster",2021,"Europa",0.0555555555555556,7,-1.25527250510331
"Rare","broadcaster",2021,"Grootpan",0.114406779661017,7,-0.941548238811119
"Rare","broadcaster",2022,"Booby Rock",0.116666666666667,8,-0.933053210369387
"Rare","broadcaster",2022,"Europa",0.0444444444444444,8,-1.35218251811136
"Rare","broadcaster",2022,"Grootpan",0.0885245901639344,8,-1.0529360751878
"Rare","broadcaster",2024,"Booby Rock",0.065,10,-1.18708664335714
"Rare","broadcaster",2024,"Europa",0.0583333333333333,10,-1.23408320603337
"Rare","broadcaster",2024,"Grootpan",0.08,10,-1.09691001300806
"Rare","brooder",2014,"Booby Rock",0.125,0,-0.903089986991944
"Rare","brooder",2014,"Europa",0.0547619047619048,0,-1.26152145438031
"Rare","brooder",2014,"Grootpan",0.103365384615385,0,-0.985624875047156
"Rare","brooder",2015,"Europa",0.0648148148148148,1,-1.18832571547269
"Rare","brooder",2015,"Grootpan",0.0913978494623656,1,-1.03906402283964
"Rare","brooder",2016,"Europa",0.0635593220338983,2,-1.19682074391443
"Rare","brooder",2016,"Grootpan",0.158333333333333,2,-0.800427645094796
"Rare","brooder",2017,"Europa",0.0555555555555556,3,-1.25527250510331
"Rare","brooder",2017,"Grootpan",0.133928571428571,3,-0.8731267636145
"Rare","brooder",2018,"Booby Rock",0.216666666666667,4,-0.664207898076807
"Rare","brooder",2018,"Europa",0.0169491525423729,4,-1.77085201164214
"Rare","brooder",2018,"Grootpan",0.0827586206896552,4,-1.08218675618735
"Rare","brooder",2019,"Booby Rock",0.111607142857143,5,-0.952308009662125
"Rare","brooder",2019,"Europa",0.0444444444444444,5,-1.35218251811136
"Rare","brooder",2019,"Grootpan",0.0666666666666667,5,-1.17609125905568
"Rare","brooder",2021,"Booby Rock",0.134615384615385,7,-0.870905303620542
"Rare","brooder",2021,"Europa",0.0466666666666667,7,-1.33099321904142
"Rare","brooder",2021,"Grootpan",0.0711864406779661,7,-1.14760272124424
"Rare","brooder",2022,"Booby Rock",0.1625,8,-0.789146634685107
"Rare","brooder",2022,"Europa",0.0366666666666667,8,-1.43572856956144
"Rare","brooder",2022,"Grootpan",0.0819672131147541,8,-1.08635983067475
"Rare","brooder",2024,"Booby Rock",0.158333333333333,10,-0.800427645094796
"Rare","brooder",2024,"Europa",0.0452380952380952,10,-1.34449568944507
"Rare","brooder",2024,"Grootpan",0.0527777777777778,10,-1.27754889981446
"common","broadcaster",2014,"Booby Rock",0.791666666666667,0,-0.101457640758777
"common","broadcaster",2014,"Europa",0.425,0,-0.371611069949688
"common","broadcaster",2014,"Grootpan",0.921597633136095,0,-0.0354586492824663
"common","broadcaster",2015,"Europa",0.419230769230769,1,-0.377546850030194
"common","broadcaster",2015,"Grootpan",0.76036866359447,1,-0.118975789634623
"common","broadcaster",2016,"Europa",0.397653194263364,2,-0.400495524602195
"common","broadcaster",2016,"Grootpan",0.828571428571429,2,-0.0816700464513195
"common","broadcaster",2017,"Europa",0.408974358974359,3,-0.388303919633299
"common","broadcaster",2017,"Grootpan",0.744897959183674,3,-0.127903215572039
"common","broadcaster",2018,"Booby Rock",0.497619047619048,4,-0.303103004286846
"common","broadcaster",2018,"Europa",0.314211212516297,4,-0.502778321374113
"common","broadcaster",2018,"Grootpan",0.532019704433498,4,-0.274072282426263
"common","broadcaster",2019,"Booby Rock",0.533482142857143,5,-0.272880113050006
"common","broadcaster",2019,"Europa",0.361111111111111,5,-0.44235914846045
"common","broadcaster",2019,"Grootpan",0.619047619047619,5,-0.208275942427082
"common","broadcaster",2021,"Booby Rock",0.760683760683761,7,-0.118795855101249
"common","broadcaster",2021,"Europa",0.393055555555556,7,-0.405546060906978
"common","broadcaster",2021,"Grootpan",0.669491525423729,7,-0.174254916015684
"common","broadcaster",2022,"Booby Rock",0.513461538461538,8,-0.289492082270224
"common","broadcaster",2022,"Europa",0.354545454545455,8,-0.450328078131726
"common","broadcaster",2022,"Grootpan",0.641686182669789,8,-0.192677312204636
"common","broadcaster",2024,"Booby Rock",0.517857142857143,10,-0.285790029107244
"common","broadcaster",2024,"Europa",0.495833333333333,10,-0.304664280319075
"common","broadcaster",2024,"Grootpan",0.720238095238095,10,-0.142523911409413
"common","brooder",2014,"Booby Rock",1.08333333333333,0,0.0347621062592119
"common","brooder",2014,"Europa",0.3,0,-0.522878745280338
"common","brooder",2014,"Grootpan",0.802884615384615,0,-0.0953468638151782
"common","brooder",2015,"Europa",0.241666666666667,1,-0.616783248148669
"common","brooder",2015,"Grootpan",0.774193548387097,1,-0.111150452122667
"common","brooder",2016,"Europa",0.36864406779661,2,-0.433392750351488
"common","brooder",2016,"Grootpan",0.725,2,-0.139661993429006
"common","brooder",2017,"Europa",0.3625,3,-0.440691989092988
"common","brooder",2017,"Grootpan",0.803571428571429,3,-0.0949755132308567
"common","brooder",2018,"Booby Rock",0.433333333333333,4,-0.363177902412826
"common","brooder",2018,"Europa",0.211864406779661,4,-0.673941998634088
"common","brooder",2018,"Grootpan",0.422413793103448,4,-0.374261909198405
"common","brooder",2019,"Booby Rock",0.5234375,5,-0.281135166947042
"common","brooder",2019,"Europa",0.216666666666667,5,-0.664207898076807
"common","brooder",2019,"Grootpan",0.4625,5,-0.334888262924949
"common","brooder",2021,"Booby Rock",0.730769230769231,7,-0.136219747017989
"common","brooder",2021,"Europa",0.375,7,-0.425968732272281
"common","brooder",2021,"Grootpan",0.677966101694915,7,-0.168792020314182
"common","brooder",2022,"Booby Rock",0.4625,8,-0.334888262924949
"common","brooder",2022,"Europa",0.3625,8,-0.440691989092988
"common","brooder",2022,"Grootpan",0.713114754098361,8,-0.14684057805613
"common","brooder",2024,"Booby Rock",0.425,10,-0.371611069949688
"common","brooder",2024,"Europa",0.304166666666667,10,-0.51688838159115
"common","brooder",2024,"Grootpan",0.733333333333333,10,-0.134698573897456
