"year_group","year","site","coralSpecies","ncols","m2","coldens"
"2014-2015",2014,"Booby Rock","aa",13,12,1.08333333333333
"2014-2015",2014,"Booby Rock","ar",1,12,0.0833333333333333
"2014-2015",2014,"Booby Rock","bau",2,12,0.166666666666667
"2014-2015",2014,"Booby Rock","ec",2,12,0.166666666666667
"2014-2015",2014,"Booby Rock","ecl",2,12,0.166666666666667
"2014-2015",2014,"Booby Rock","efl",24,12,2
"2014-2015",2014,"Booby Rock","ems",10,12,0.833333333333333
"2014-2015",2014,"Booby Rock","esp",3,12,0.25
"2014-2015",2014,"Booby Rock","eto",7,12,0.583333333333333
"2014-2015",2014,"Booby Rock","etoa",1,12,0.0833333333333333
"2014-2015",2014,"Booby Rock","gvm",32,12,2.66666666666667
"2014-2015",2014,"Booby Rock","mf",1,12,0.0833333333333333
"2014-2015",2014,"Booby Rock","ml",1,12,0.0833333333333333
"2014-2015",2014,"Booby Rock","pc",5,12,0.416666666666667
"2014-2015",2014,"Booby Rock","pd",1,12,0.0833333333333333
"2014-2015",2014,"Booby Rock","pfpw",19,12,1.58333333333333
"2014-2015",2014,"Booby Rock","ph",5,12,0.416666666666667
"2014-2015",2014,"Booby Rock","phk",19,12,1.58333333333333
"2014-2015",2014,"Booby Rock","pk",2,12,0.166666666666667
"2014-2015",2014,"Booby Rock","plxsp",11,12,0.916666666666667
"2014-2015",2014,"Booby Rock","pnu",1,12,0.0833333333333333
"2014-2015",2014,"Booby Rock","pp",5,12,0.416666666666667
"2014-2015",2014,"Europa","aa",51,60,0.85
"2014-2015",2014,"Europa","ar",4,60,0.0666666666666667
"2014-2015",2014,"Europa","bae",2,60,0.0333333333333333
"2014-2015",2014,"Europa","bau",4,60,0.0666666666666667
"2014-2015",2014,"Europa","ea",1,60,0.0166666666666667
"2014-2015",2014,"Europa","ec",8,60,0.133333333333333
"2014-2015",2014,"Europa","ecl",1,60,0.0166666666666667
"2014-2015",2014,"Europa","efl",54,60,0.9
"2014-2015",2014,"Europa","efu",8,60,0.133333333333333
"2014-2015",2014,"Europa","elc",3,60,0.05
"2014-2015",2014,"Europa","ems",19,60,0.316666666666667
"2014-2015",2014,"Europa","esp",5,60,0.0833333333333333
"2014-2015",2014,"Europa","eta",7,60,0.116666666666667
"2014-2015",2014,"Europa","eto",13,60,0.216666666666667
"2014-2015",2014,"Europa","etoa",7,60,0.116666666666667
"2014-2015",2014,"Europa","gvm",52,60,0.866666666666667
