"category","Reproductive_mode","year","site","perccover","yearind","perccoverLog"
"Common","Broadcaster",2001,"Buck Island STX",1.76,0,0.24551266781415
"Common","Broadcaster",2001,"Cane Bay",0.636944444444444,0,-0.195898446037348
"Common","Broadcaster",2001,"Coculus Rock",0.622222222222222,0,-0.206054482433124
"Common","Broadcaster",2001,"Eagle Ray",0.618611111111111,0,-0.208582283733249
"Common","Broadcaster",2001,"Fish Bay",1.36027777777778,0,0.133627603250931
"Common","Broadcaster",2001,"Jacks Bay",1.00444444444444,0,0.00192592103603845
"Common","Broadcaster",2001,"Magens Bay",0.221111111111111,0,-0.655389433029618
"Common","Broadcaster",2001,"Salt River West",0.989444444444444,0,-0.00460858564006253
"Common","Broadcaster",2001,"Sprat Hole",3.14111111111111,0,0.497083299050195
"Common","Broadcaster",2002,"Botany Bay",0.948333333333333,1,-0.0230389839885724
"Common","Broadcaster",2002,"Brewers Bay",7.02833333333333,1,0.84685235063122
"Common","Broadcaster",2002,"Buck Island STX",1.52777777777778,1,0.184060188726957
"Common","Broadcaster",2002,"Cane Bay",3.14361111111111,1,0.49742881512032
"Common","Broadcaster",2002,"Coculus Rock",0.904722222222222,1,-0.0434847422024141
"Common","Broadcaster",2002,"Eagle Ray",0.540833333333333,1,-0.266936549247256
"Common","Broadcaster",2002,"Fish Bay",1.52944444444444,1,0.184533706290024
"Common","Broadcaster",2002,"Jacks Bay",0.560555555555555,1,-0.251381338866396
"Common","Broadcaster",2002,"Magens Bay",0.361111111111111,1,-0.44235914846045
"Common","Broadcaster",2002,"Salt River West",0.67,1,-0.173925197299174
"Common","Broadcaster",2002,"Sprat Hole",2.93533333333333,1,0.467657426403845
"Common","Broadcaster",2003,"Black Point",1.31944444444444,2,0.120391108857579
"Common","Broadcaster",2003,"Botany Bay",0.783333333333333,2,-0.106053392447926
"Common","Broadcaster",2003,"Brewers Bay",5.69888888888889,2,0.755790189626429
"Common","Broadcaster",2003,"Buck Island STX",2.01444444444444,2,0.304155294656184
"Common","Broadcaster",2003,"Cane Bay",3.12,2,0.494154594018443
"Common","Broadcaster",2003,"Castle",0.138055555555556,2,-0.859946112033955
"Common","Broadcaster",2003,"Coculus Rock",0.749722222222222,2,-0.125099616210771
"Common","Broadcaster",2003,"Eagle Ray",0.581666666666667,2,-0.235325823424464
"Common","Broadcaster",2003,"Fish Bay",1.88611111111111,2,0.275567273513214
"Common","Broadcaster",2003,"Flat Cay",1.84222222222222,2,0.26534201677493
"Common","Broadcaster",2003,"Great Pond",0.757916666666667,2,-0.120378542648122
"Common","Broadcaster",2003,"Jacks Bay",0.781944444444444,2,-0.106824101579922
"Common","Broadcaster",2003,"Magens Bay",0.5775,2,-0.238448011435818
"Common","Broadcaster",2003,"Salt River West",1.02583333333333,2,0.0110768068836915
"Common","Broadcaster",2003,"Savana",3.04472222222222,2,0.483547676982377
"Common","Broadcaster",2003,"Seahorse Cottage Shoal",4.31972222222222,2,0.635455820603161
"Common","Broadcaster",2003,"Sprat Hole",3.1375,2,0.496583734489095
"Common","Broadcaster",2004,"Botany Bay",1.165,3,0.0663259253620377
"Common","Broadcaster",2004,"Buck Island STX",1.57222222222222,3,0.196513930420984
"Common","Broadcaster",2004,"Cane Bay",2.35083333333333,3,0.371221840107742
"Common","Broadcaster",2004,"Coculus Rock",1.1,3,0.0413926851582251
