"coralSpecies","meancov","rank","normcov","cumsumcov","commonness","Reproductive_mode"
"Orbicella annularis",6.76245894979473,1,0.546612666006015,0.546612666006015,"Common","Broadcaster"
"Orbicella franksi",1.44435910907895,2,0.116748210842401,0.663360876848417,"Common","Broadcaster"
"Porites porites",0.905483774127956,3,0.0731906697661056,0.736551546614522,"Common","Brooder"
"Montastraea cavernosa",0.548833873308415,4,0.044362494310243,0.780914040924765,"Common","Broadcaster"
"Porites astreoides",0.543619369322777,5,0.0439410035556744,0.82485504448044,"Common","Brooder"
"Siderastrea siderea",0.463648283874019,6,0.0374769039515108,0.86233194843195,"Common","Broadcaster"
"Pseudodiploria strigosa",0.363375054774292,7,0.0293717727419679,0.891703721173918,"Common","Broadcaster"
"Agaricia agaricites",0.334845009547155,8,0.027065676069344,0.918769397243262,"Rare","Brooder"
"Orbicella faveolata",0.244360103838764,9,0.0197517395397821,0.938521136783044,"Rare","Broadcaster"
"Colpophyllia natans",0.210040715521611,10,0.0169776876034958,0.95549882438654,"Rare","Broadcaster"
"Diploria labyrinthiformis",0.147649572588919,11,0.0119345828354237,0.967433407221964,"Rare","Broadcaster"
"Dichocoenia stokesii",0.108040007425972,12,0.00873292347249118,0.976166330694455,"Rare","Broadcaster"
"Dendrogyra cylindrus",0.0896704317393972,13,0.00724810222418728,0.983414432918642,"Rare","Broadcaster"
"Madracis mirabilis",0.0461410639842852,14,0.0037296034155697,0.987144036334212,"Rare","Brooder"
"Acropora cervicornis",0.0347312726260094,15,0.00280734473433825,0.98995138106855,"Rare","Broadcaster"
"Meandrina meandrites",0.0233132975636724,16,0.001884424560545,0.991835805629095,"Rare","Broadcaster"
"Stephanocoenia intercepta",0.0232960631412211,17,0.0018830314942546,0.99371883712335,"Rare","Broadcaster"
"Eusmilia fastigiata",0.0221302474525863,18,0.00178879807614924,0.995507635199499,"Rare","Broadcaster"
"Mycetophyllia lamarckiana",0.0116441116109551,19,0.000941198894986117,0.996448834094485,"Rare","Brooder"
"Madracis decactis",0.0110432361564054,20,0.000892629855737609,0.997341463950223,"Rare","Brooder"
"Mycetophyllia ferox",0.0076058201058201,21,0.000614781935989524,0.997956245886212,"Rare","Brooder"
"Pseudodiploria clivosa",0.00701970443349754,22,0.000567405936724364,0.998523651822937,"Rare","Broadcaster"
"Favia fragum",0.00516493847432545,23,0.000417484351501132,0.998941136174438,"Rare","Brooder"
"Mycetophyllia aliciae",0.00370576360565237,24,0.000299538575999074,0.999240674750437,"Rare","Brooder"
"Isophyllia sinuosa",0.00357142857142857,25,0.000288680213421168,0.999529354963858,"Rare","Brooder"
"Porites furcata",0.00285291631445478,26,0.00023060253734827,0.999759957501206,"Rare","Brooder"
"Helioseris cucullata",0.00195199537304801,27,0.000157780683448816,0.999917738184655,"Rare","Brooder"
"Siderastrea radians",0.00101770812131081,28,8.22618153449288e-05,1,"Rare","Brooder"
