"program","site","site_code","island","yearadded","lat","lon","depth","dist_from_shore","rugosity","rugosity_year","rugosity_source","lat_lon_source","depth_source","description_source","notes"
"TCRMP","Great Pond","GRP","STX",2003,17.71097,-64.65221,4,1267.471121,1.104117781,2011,"column AVG in TCRMP-Rugosity Master_4RRS","Sheet ""Site Metadata"" in TCRMP_Master_BenthicCover_4RRS.xlsx","Sheet ""Site Metadata"" in TCRMP_Master_BenthicCover_4RRS.xlsx","",""
"TCRMP","Brewers Bay","BWR","STT",2002,18.34403,-64.98435,6,165.6067326,1.587997012,2011,"column AVG in TCRMP-Rugosity Master_4RRS","Sheet ""Site Metadata"" in TCRMP_Master_BenthicCover_4RRS.xlsx","Sheet ""Site Metadata"" in TCRMP_Master_BenthicCover_4RRS.xlsx","",""
"TCRMP","Fish Bay","FSB","STJ",2002,18.31417,-64.76408,6,122.4638573,1.265015487,2011,"fish bay inner value for column AVG in TCRMP-Rugosity Master_4RRS","Sheet ""Site Metadata"" in TCRMP_Master_BenthicCover_4RRS.xlsx","Sheet ""Site Metadata"" in TCRMP_Master_BenthicCover_4RRS.xlsx","",""
"TCRMP","Castle","CST","STX",2003,17.76278,-64.59743,7,637.6731301,1.403704396,2011,"column AVG in TCRMP-Rugosity Master_4RRS","Sheet ""Site Metadata"" in TCRMP_Master_BenthicCover_4RRS.xlsx","Sheet ""Site Metadata"" in TCRMP_Master_BenthicCover_4RRS.xlsx","",""
"TCRMP","Coculus Rock","CKR","STT",2002,18.31257,-64.86058,7,529.2207156,1.22909699,2011,"column AVG in TCRMP-Rugosity Master_4RRS","Sheet ""Site Metadata"" in TCRMP_Master_BenthicCover_4RRS.xlsx","Sheet ""Site Metadata"" in TCRMP_Master_BenthicCover_4RRS.xlsx","",""
"TCRMP","Magens Bay","MGN","STT",2002,18.37425,-64.93438,7,157.7922669,1.732995046,2011,"column AVG in TCRMP-Rugosity Master_4RRS","Sheet ""Site Metadata"" in TCRMP_Master_BenthicCover_4RRS.xlsx","Sheet ""Site Metadata"" in TCRMP_Master_BenthicCover_4RRS.xlsx","",""
"CSUN","West Little Lameshur","WLLB","STJ",1992,18.31725847,-64.72779501,7,21.42096467,NA,NA,"","https://portal.edirepository.org/nis/metadataviewer?packageid=edi.291.3","https://portal.edirepository.org/nis/metadataviewer?packageid=edi.291.3","Random sites – were added in 1992 to address the concern that the original sites (Yawzi and Tektite) were selected on “good” areas of reef and, therefore, could only decline in condition. The Random sites were selected using random coordinates in 1992, and consist of 6 sites (at 7-9 m depth) scattered between Cabritte Point and White Point. All lie a little shoreward of Yawzi and Tektite, and have always been characterized by low coral cover (< 10% cover). The surveys consist of 18-40 photoquadrats (0.5 x 0.5 m; with sample size determined by the exposures on a 35 mm cassette versus digital techniques) that are placed at random points along a transect. https://www.bco-dmo.org/dataset/736796 ","aka Site9"
"VINPS","VIIS-Newfound","VIIS_NF","STJ",1999,18.348656,-64.667782,7.9248,122.9165751,1.5214,2016,"https://irma.nps.gov/DataStore/Reference/Profile/2296908","https://irma.nps.gov/DataStore/Reference/Profile/2296908","USVI_WaterTemp_Metadata_VINPS_RRS.xlsx","Newfound Reef study site is a 13,768 square meter (3.4 ac) site located on the east end of St. John (Figure 5), outside the boundary of Virgin Islands National Park. The site is within a watershed that is privately owned, but undeveloped at this time. The fore reef site is defined by a four-meter (13.4 ft) depth contour (west), an imaginary line offshore and perpendicular to a rocky outcropping (north), the sand channel that enters Newfound Bay back reef (south), and the edge of the fore reef slope (east). Shoreward of the study site is a back reef lagoon, which is a popular anchorage for day-charter boats bringing visitors to this reef https://irma.nps.gov/DataStore/Reference/Profile/2240837",""
"TCRMP","Botany Bay","BTY","STT",2002,18.35738,-65.03442,8,211.8053565,1.341731728,2011,"column AVG in TCRMP-Rugosity Master_4RRS","Sheet ""Site Metadata"" in TCRMP_Master_BenthicCover_4RRS.xlsx","Sheet ""Site Metadata"" in TCRMP_Master_BenthicCover_4RRS.xlsx","",""
"TCRMP","Sprat Hole","SPH","STX",2002,17.734,-64.8954,8,584.2853836,2.377433146,2011,"column AVG in TCRMP-Rugosity Master_4RRS","Sheet ""Site Metadata"" in TCRMP_Master_BenthicCover_4RRS.xlsx","Sheet ""Site Metadata"" in TCRMP_Master_BenthicCover_4RRS.xlsx","",""
"VINPS","VIIS-Haulover","VIIS_HA","STJ",2003,18.351263,-64.679495,8.2296,87.70308639,1.658,2015,"https://irma.nps.gov/DataStore/Reference/Profile/2296908","https://irma.nps.gov/DataStore/Reference/Profile/2296908","USVI_WaterTemp_Metadata_VINPS_RRS.xlsx","Haulover Reef study site is located on the northeastern end of St. John, within Virgin Islands NP (Figure 5). The site is on the north side of Haulover Bay, a bay that is bisected by the boundary of the park and monument. Currently, development is progressing on the southern shore of the bay and plans have been approved for 35 home sites on a very steep slope. The proximity of this well-developed reef to the park boundary and the development pressures from adjacent non-park land makes this site of particular interest to VIIS/VICR resource managers. https://irma.nps.gov/DataStore/Reference/Profile/2240837 ",""
"TCRMP","Black Point","BPT","STT",2003,18.3445,-64.98595,9,77.60843879,1.385281385,2011,"column AVG in TCRMP-Rugosity Master_4RRS","Sheet ""Site Metadata"" in TCRMP_Master_BenthicCover_4RRS.xlsx","Sheet ""Site Metadata"" in TCRMP_Master_BenthicCover_4RRS.xlsx","",""
"TCRMP","Coral Bay","CRB","STJ",2011,18.33797,-64.70402,9,307.1072211,1.426478224,2011,"column AVG in TCRMP-Rugosity Master_4RRS","Sheet ""Site Metadata"" in TCRMP_Master_BenthicCover_4RRS.xlsx","Sheet ""Site Metadata"" in TCRMP_Master_BenthicCover_4RRS.xlsx","",""
"TCRMP","Savana","SVN","STT",2003,18.34064,-65.08205,9,3645.055599,1.348563433,2011,"column AVG in TCRMP-Rugosity Master_4RRS","Sheet ""Site Metadata"" in TCRMP_Master_BenthicCover_4RRS.xlsx","Sheet ""Site Metadata"" in TCRMP_Master_BenthicCover_4RRS.xlsx","",""
"CSUN","Yawzi","YZ ","STJ",1987,18.31506678,-64.72551007,9,50.1920693,NA,NA,"","https://portal.edirepository.org/nis/metadataviewer?packageid=edi.291.3","https://portal.edirepository.org/nis/metadataviewer?packageid=edi.291.3","Yawzi – this is at 9 m depth and is on the western side of Great Lameshur Bay and has been recorded photographically since 1987. This reef also started the study period dominated by Montastraea annularis, but has degraded much more rapidly that the Tektite site. These surveys consist of 30 photoquadrats (1 x 1 m) distributed along three, 10 m transects. https://www.bco-dmo.org/dataset/736796 ",""
"CSUN","Cabritte Horn","CH","STJ",1992,18.30713526,-64.72164419,9,33.06350963,1.221673647,2014,"https://www.bco-dmo.org/dataset/745635 ","https://portal.edirepository.org/nis/metadataviewer?packageid=edi.291.3","https://portal.edirepository.org/nis/metadataviewer?packageid=edi.291.3","Random sites – were added in 1992 to address the concern that the original sites (Yawzi and Tektite) were selected on “good” areas of reef and, therefore, could only decline in condition. The Random sites were selected using random coordinates in 1992, and consist of 6 sites (at 7-9 m depth) scattered between Cabritte Point and White Point. All lie a little shoreward of Yawzi and Tektite, and have always been characterized by low coral cover (< 10% cover). The surveys consist of 18-40 photoquadrats (0.5 x 0.5 m; with sample size determined by the exposures on a 35 mm cassette versus digital techniques) that are placed at random points along a transect. https://www.bco-dmo.org/dataset/736796 ","aka Site2"
"CSUN","East Tektite","ETK","STJ",1992,18.31095579,-64.72181924,9,8.835786181,NA,NA,"","https://portal.edirepository.org/nis/metadataviewer?packageid=edi.291.3","https://portal.edirepository.org/nis/metadataviewer?packageid=edi.291.3","Random sites – were added in 1992 to address the concern that the original sites (Yawzi and Tektite) were selected on “good” areas of reef and, therefore, could only decline in condition. The Random sites were selected using random coordinates in 1992, and consist of 6 sites (at 7-9 m depth) scattered between Cabritte Point and White Point. All lie a little shoreward of Yawzi and Tektite, and have always been characterized by low coral cover (< 10% cover). The surveys consist of 18-40 photoquadrats (0.5 x 0.5 m; with sample size determined by the exposures on a 35 mm cassette versus digital techniques) that are placed at random points along a transect. https://www.bco-dmo.org/dataset/736796 ","aka Site6"
