"coralGenera","meancov","rank","normcov","cumsumcov","commonness","Reproductive_mode"
"Orbicella",10.2026724679345,1,0.734985125533846,0.734985125533846,"Common","Broadcaster"
"Siderastrea",1.24300712320016,2,0.0895443570648781,0.824529482598724,"Common","Broadcaster"
"Porites",0.693473001130277,3,0.0499567483315724,0.874486230930296,"Common","Brooder"
"Agaricia",0.610477450980392,4,0.0439778741652813,0.918464105095578,"Rare","Brooder"
"Montastraea",0.323903326944813,5,0.0233335068006508,0.941797611896228,"Rare","Broadcaster"
"Diploria",0.297478527200354,6,0.0214299041104314,0.96322751600666,"Rare","Broadcaster"
"Colpophyllia",0.287,7,0.020675046826326,0.983902562832986,"Rare","Broadcaster"
"Meandrina",0.0675199665831245,8,0.00486403648368664,0.988766599316672,"Rare","Broadcaster"
"Dichocoenia",0.0470331465919701,9,0.00338819689260779,0.99215479620928,"Rare","Broadcaster"
"Stephanocoenia",0.0374199026979212,10,0.00269567331190273,0.994850469521183,"Rare","Broadcaster"
"Acropora",0.0286211764705883,11,0.00206182635454339,0.996912295875726,"Rare","Broadcaster"
"Dendrogyra",0.024522440087146,12,0.00176655957176835,0.998678855447495,"Rare","Broadcaster"
"Eusmilia",0.0085546218487395,13,0.000616262046356099,0.999295117493851,"Rare","Broadcaster"
"Madracis",0.00317647058823529,14,0.000228828146878787,0.99952394564073,"Rare","Brooder"
"Mussa",0.00235294117647059,15,0.000169502331021324,0.999693447971751,"Rare","Brooder"
"Favia",0.00223333333333333,16,0.00016088596252774,0.999854333934279,"Rare","Brooder"
"Manicina",0.00202205882352941,17,0.00014566606572145,1,"Rare","Brooder"
