"coralSpecies","meancov","rank","normcov","cumsumcov","commonness","Reproductive_mode"
"Orbicella annularis",3.40407729468599,1,0.231784476904387,0.231784476904387,"Common","Broadcaster"
"Orbicella franksi",2.14643939393939,2,0.146151596765403,0.377936073669791,"Common","Broadcaster"
"Montastraea cavernosa",1.68628502415459,3,0.114819570297515,0.492755643967306,"Common","Broadcaster"
"Porites astreoides",1.31609661835749,4,0.0896133488854174,0.582368992852723,"Common","Brooder"
"Porites porites",1.25638647342995,5,0.0855476701390742,0.667916662991798,"Common","Brooder"
"Orbicella faveolata",1.18335353535354,6,0.0805748390652151,0.748491502057013,"Common","Broadcaster"
"Siderastrea siderea",0.863458937198068,7,0.058793135631585,0.807284637688598,"Common","Broadcaster"
"Agaricia agaricites",0.661294685990338,8,0.0450277210541604,0.852312358742758,"Common","Brooder"
"Pseudodiploria strigosa",0.369275362318841,9,0.0251440520526271,0.877456410795385,"Common","Broadcaster"
"Madracis mirabilis",0.288473333333333,10,0.0196422216298997,0.897098632425285,"Common","Brooder"
"Diploria labyrinthiformis",0.252557291666667,11,0.017196689343315,0.9142953217686,"Rare","Broadcaster"
"Colpophyllia natans",0.205304347826087,12,0.0139792245438585,0.928274546312458,"Rare","Broadcaster"
"Meandrina meandrites",0.153651041666667,13,0.0104621379702859,0.938736684282744,"Rare","Broadcaster"
"Agaricia grahamae",0.102301587301587,14,0.00696574074161093,0.945702425024355,"Rare","Brooder"
"Acropora palmata",0.0983333333333333,15,0.00669554133348017,0.952397966357835,"Rare","Broadcaster"
"Dendrogyra cylindrus",0.0786666666666667,16,0.00535643306678414,0.95775439942462,"Rare","Broadcaster"
"Porites furcata",0.071025641025641,17,0.00483615371414344,0.962590553138763,"Rare","Brooder"
"Pseudodiploria clivosa",0.0607380952380953,18,0.00413567214084938,0.966726225279612,"Rare","Broadcaster"
"Acropora cervicornis",0.0490277777777778,19,0.00333831368745551,0.970064538967068,"Rare","Broadcaster"
"Mycetophyllia daniana",0.0464814814814815,20,0.00316493573390494,0.973229474700973,"Rare","Brooder"
"Eusmilia fastigiata",0.0441360544217687,21,0.00300523501706118,0.976234709718034,"Rare","Broadcaster"
"Agaricia lamarcki",0.0406739130434783,22,0.00276949694213885,0.979004206660173,"Rare","Brooder"
"Porites divaricata",0.0363841807909605,23,0.00247740799699008,0.981481614657163,"Rare","Brooder"
"Stephanocoenia intercepta",0.0355808080808081,24,0.0024227061476306,0.983904320804794,"Rare","Broadcaster"
"Mycetophyllia ferox",0.0353205128205128,25,0.0024049825780623,0.986309303382856,"Rare","Brooder"
"Siderastrea radians",0.0323280423280423,26,0.00220122451157191,0.988510527894428,"Rare","Brooder"
"Mycetophyllia lamarckiana",0.025,27,0.00170225627122377,0.990212784165652,"Rare","Brooder"
"Mycetophyllia aliciae",0.0242857142857143,28,0.00165362037776024,0.991866404543412,"Rare","Brooder"
"Solenastrea bournoni",0.0226068376068376,29,0.00153930524355107,0.993405709786963,"Rare","Broadcaster"
"Madracis formosa",0.013875,30,0.000944752230529194,0.994350462017492,"Rare","Brooder"
"Isopyhyllastrea rigida",0.0136666666666667,31,0.000930566761602329,0.995281028779094,"Rare","Brooder"
"Dichocoenia stokesii",0.0124031007751938,32,0.000844530243087763,0.996125559022182,"Rare","Broadcaster"
"Manicina areolata",0.0118421052631579,33,0.000806331917948103,0.99693189094013,"Rare","Brooder"
"Madracis decactis",0.0108474576271186,34,0.000738606110903874,0.997670497051034,"Rare","Brooder"
"Solenastrea hyades",0.00916666666666667,35,0.00062416063278205,0.998294657683816,"Rare","Broadcaster"
"Agaricia fragilis",0.00746031746031746,36,0.000507974887285824,0.998802632571102,"Rare","Brooder"
"Agaricia tenuifolia",0.00666666666666667,37,0.000453935005659673,0.999256567576762,"Rare","Brooder"
"Agaricia humilis",0.00548022598870056,38,0.000373149962279561,0.999629717539041,"Rare","Brooder"
"Isophyllia sinuosa",0.00382352941176471,39,0.000260345076775401,0.999890062615817,"Rare","Brooder"
"Favia fragum",0.00161458333333333,40,0.000109937384183202,1,"Rare","Brooder"
